id,state,terminal_reason,error_code,created_at,updated_at
turn_770ed11aec57497594b73f23b51ccc42,cancelled,released,TURN_CANCELLED,2026-09-24T11:12:38.396516+00:00,2026-09-24T11:19:15.997186+00:00
seq,kind,turn_id,data,created_at
1,turn.accepted,turn_770ed11aec57497594b73f23b51ccc42,"{""profile_revision"": 1, ""state"": ""accepted""}",2026-09-24T11:12:38.396673+00:00
2,turn.state,turn_770ed11aec57497594b73f23b51ccc42,"{""error_code"": ""TURN_CANCELLED"", ""state"": ""cancelled""}",2026-09-24T11:19:15.997419+00:00
